Pavarde                  Vardas                   Galutinis      
Vardas678                Pavarde678               1.48           
Vardas657                Pavarde657               1.72           
Vardas808                Pavarde808               1.80           
Vardas140                Pavarde140               1.88           
Vardas446                Pavarde446               1.88           
Vardas426                Pavarde426               1.96           
Vardas360                Pavarde360               1.96           
Vardas722                Pavarde722               2.00           
Vardas203                Pavarde203               2.04           
Vardas622                Pavarde622               2.04           
Vardas791                Pavarde791               2.12           
Vardas313                Pavarde313               2.12           
Vardas635                Pavarde635               2.12           
Vardas921                Pavarde921               2.12           
Vardas600                Pavarde600               2.12           
Vardas366                Pavarde366               2.12           
Vardas101                Pavarde101               2.20           
Vardas58                 Pavarde58                2.24           
Vardas419                Pavarde419               2.28           
Vardas778                Pavarde778               2.28           
Vardas972                Pavarde972               2.28           
Vardas361                Pavarde361               2.28           
Vardas611                Pavarde611               2.28           
Vardas20                 Pavarde20                2.28           
Vardas131                Pavarde131               2.36           
Vardas398                Pavarde398               2.36           
Vardas578                Pavarde578               2.36           
Vardas774                Pavarde774               2.44           
Vardas73                 Pavarde73                2.44           
Vardas443                Pavarde443               2.44           
Vardas631                Pavarde631               2.44           
Vardas503                Pavarde503               2.44           
Vardas386                Pavarde386               2.48           
Vardas697                Pavarde697               2.48           
Vardas19                 Pavarde19                2.52           
Vardas217                Pavarde217               2.52           
Vardas619                Pavarde619               2.52           
Vardas459                Pavarde459               2.56           
Vardas845                Pavarde845               2.56           
Vardas182                Pavarde182               2.56           
Vardas546                Pavarde546               2.60           
Vardas990                Pavarde990               2.60           
Vardas699                Pavarde699               2.60           
Vardas859                Pavarde859               2.60           
Vardas243                Pavarde243               2.60           
Vardas202                Pavarde202               2.60           
Vardas914                Pavarde914               2.60           
Vardas660                Pavarde660               2.64           
Vardas627                Pavarde627               2.64           
Vardas705                Pavarde705               2.68           
Vardas184                Pavarde184               2.68           
Vardas793                Pavarde793               2.68           
Vardas935                Pavarde935               2.68           
Vardas932                Pavarde932               2.72           
Vardas491                Pavarde491               2.72           
Vardas883                Pavarde883               2.72           
Vardas71                 Pavarde71                2.72           
Vardas240                Pavarde240               2.72           
Vardas978                Pavarde978               2.72           
Vardas945                Pavarde945               2.72           
Vardas134                Pavarde134               2.76           
Vardas783                Pavarde783               2.76           
Vardas811                Pavarde811               2.76           
Vardas135                Pavarde135               2.80           
Vardas321                Pavarde321               2.80           
Vardas955                Pavarde955               2.84           
Vardas54                 Pavarde54                2.84           
Vardas295                Pavarde295               2.84           
Vardas241                Pavarde241               2.84           
Vardas907                Pavarde907               2.88           
Vardas682                Pavarde682               2.88           
Vardas521                Pavarde521               2.88           
Vardas595                Pavarde595               2.88           
Vardas532                Pavarde532               2.92           
